PLL_OUTPUT MHz, HSE, PLLM, PLLN, PLLP, DMA_BEATS, actual color clock MHz, error
158.86, 16000000, 14, 278, 2, 12, 3.309524, -0.075435
158.86, 16000000, 21, 417, 2, 12, 3.309524, -0.075435
145.68, 16000000, 19, 346, 2, 11, 3.311005, -0.075021
158.93, 16000000, 15, 298, 2, 12, 3.311111, -0.074991
145.71, 16000000, 14, 255, 2, 11, 3.311688, -0.074830
172.21, 16000000, 19, 409, 2, 13, 3.311741, -0.074815
172.24, 16000000, 17, 366, 2, 13, 3.312217, -0.074682
145.74, 16000000, 23, 419, 2, 11, 3.312253, -0.074672
159.00, 16000000, 8, 159, 2, 12, 3.312500, -0.074603
159.00, 16000000, 16, 318, 2, 12, 3.312500, -0.074603
172.27, 16000000, 15, 323, 2, 13, 3.312821, -0.074514
145.78, 16000000, 9, 164, 2, 11, 3.313131, -0.074427
145.78, 16000000, 18, 328, 2, 11, 3.313131, -0.074427
172.31, 16000000, 13, 280, 2, 13, 3.313609, -0.074293
159.06, 16000000, 17, 338, 2, 12, 3.313725, -0.074261
145.82, 16000000, 22, 401, 2, 11, 3.314050, -0.074170
172.36, 16000000, 11, 237, 2, 13, 3.314685, -0.073993
145.85, 16000000, 13, 237, 2, 11, 3.314685, -0.073993
159.11, 16000000, 9, 179, 2, 12, 3.314815, -0.073956
159.11, 16000000, 18, 358, 2, 12, 3.314815, -0.073956
172.40, 16000000, 20, 431, 2, 13, 3.315385, -0.073797
145.88, 16000000, 17, 310, 2, 11, 3.315508, -0.073763
159.16, 16000000, 19, 378, 2, 12, 3.315789, -0.073684
145.90, 16000000, 21, 383, 2, 11, 3.316017, -0.073620
172.44, 16000000, 9, 194, 2, 13, 3.316239, -0.073558
172.44, 16000000, 18, 388, 2, 13, 3.316239, -0.073558
159.20, 16000000, 10, 199, 2, 12, 3.316667, -0.073439
159.20, 16000000, 20, 398, 2, 12, 3.316667, -0.073439
172.50, 16000000, 16, 345, 2, 13, 3.317308, -0.073260
159.24, 16000000, 21, 418, 2, 12, 3.317460, -0.073217
146.00, 16000000, 4, 73, 2, 11, 3.318182, -0.073016
146.00, 16000000, 8, 146, 2, 11, 3.318182, -0.073016
159.27, 16000000, 11, 219, 2, 12, 3.318182, -0.073016
146.00, 16000000, 12, 219, 2, 11, 3.318182, -0.073016
146.00, 16000000, 16, 292, 2, 11, 3.318182, -0.073016
146.00, 16000000, 20, 365, 2, 11, 3.318182, -0.073016
172.57, 16000000, 7, 151, 2, 13, 3.318681, -0.072876
172.57, 16000000, 14, 302, 2, 13, 3.318681, -0.072876
159.33, 16000000, 12, 239, 2, 12, 3.319444, -0.072663
172.63, 16000000, 19, 410, 2, 13, 3.319838, -0.072553
146.09, 16000000, 23, 420, 2, 11, 3.320158, -0.072464
172.67, 16000000, 12, 259, 2, 13, 3.320513, -0.072365
159.38, 16000000, 13, 259, 2, 12, 3.320513, -0.072365
146.11, 16000000, 19, 347, 2, 11, 3.320574, -0.072347
146.13, 16000000, 15, 274, 2, 11, 3.321212, -0.072169
172.71, 16000000, 17, 367, 2, 13, 3.321267, -0.072154
159.43, 16000000, 14, 279, 2, 12, 3.321429, -0.072109
159.47, 16000000, 15, 299, 2, 12, 3.322222, -0.071887
146.18, 16000000, 11, 201, 2, 11, 3.322314, -0.071861
146.18, 16000000, 22, 402, 2, 11, 3.322314, -0.071861
159.50, 16000000, 16, 319, 2, 12, 3.322917, -0.071693
172.80, 16000000, 5, 108, 2, 13, 3.323077, -0.071648
172.80, 16000000, 10, 216, 2, 13, 3.323077, -0.071648
172.80, 16000000, 15, 324, 2, 13, 3.323077, -0.071648
146.22, 16000000, 18, 329, 2, 11, 3.323232, -0.071605
159.53, 16000000, 17, 339, 2, 12, 3.323529, -0.071522
159.56, 16000000, 18, 359, 2, 12, 3.324074, -0.071370
159.58, 16000000, 19, 379, 2, 12, 3.324561, -0.071234
146.29, 16000000, 21, 384, 2, 11, 3.324675, -0.071202
146.29, 16000000, 7, 128, 2, 11, 3.324675, -0.071202
186.18, 16000000, 11, 256, 2, 14, 3.324675, -0.071202
146.29, 16000000, 14, 256, 2, 11, 3.324675, -0.071202
172.89, 16000000, 18, 389, 2, 13, 3.324786, -0.071171
159.60, 16000000, 20, 399, 2, 12, 3.325000, -0.071111
186.22, 16000000, 18, 419, 2, 14, 3.325397, -0.071000
159.62, 16000000, 21, 419, 2, 12, 3.325397, -0.071000
172.92, 16000000, 13, 281, 2, 13, 3.325444, -0.070987
146.35, 16000000, 17, 311, 2, 11, 3.326203, -0.070775
186.29, 16000000, 7, 163, 2, 14, 3.326531, -0.070683
186.29, 16000000, 14, 326, 2, 14, 3.326531, -0.070683
173.00, 16000000, 8, 173, 2, 13, 3.326923, -0.070574
173.00, 16000000, 16, 346, 2, 13, 3.326923, -0.070574
146.40, 16000000, 10, 183, 2, 11, 3.327273, -0.070476
146.40, 16000000, 20, 366, 2, 11, 3.327273, -0.070476
186.35, 16000000, 17, 396, 2, 14, 3.327731, -0.070348
173.05, 16000000, 19, 411, 2, 13, 3.327935, -0.070291
146.43, 16000000, 23, 421, 2, 11, 3.328063, -0.070255
186.40, 16000000, 10, 233, 2, 14, 3.328571, -0.070113
173.09, 16000000, 11, 238, 2, 13, 3.328671, -0.070085
146.46, 16000000, 13, 238, 2, 11, 3.328671, -0.070085
146.50, 16000000, 16, 293, 2, 11, 3.329545, -0.069841
186.46, 16000000, 13, 303, 2, 14, 3.329670, -0.069806
173.14, 16000000, 14, 303, 2, 13, 3.329670, -0.069806
146.53, 16000000, 19, 348, 2, 11, 3.330144, -0.069674
173.18, 16000000, 17, 368, 2, 13, 3.330317, -0.069626
186.50, 16000000, 16, 373, 2, 14, 3.330357, -0.069614
146.55, 16000000, 22, 403, 2, 11, 3.330579, -0.069553
146.67, 16000000, 3, 55, 2, 11, 3.333333, -0.068783
173.33, 16000000, 3, 65, 2, 13, 3.333333, -0.068783
186.67, 16000000, 3, 70, 2, 14, 3.333333, -0.068783
146.67, 16000000, 6, 110, 2, 11, 3.333333, -0.068783
173.33, 16000000, 6, 130, 2, 13, 3.333333, -0.068783
186.67, 16000000, 6, 140, 2, 14, 3.333333, -0.068783
146.67, 16000000, 9, 165, 2, 11, 3.333333, -0.068783
186.67, 16000000, 9, 210, 2, 14, 3.333333, -0.068783
146.67, 16000000, 12, 220, 2, 11, 3.333333, -0.068783
173.33, 16000000, 12, 260, 2, 13, 3.333333, -0.068783
186.67, 16000000, 12, 280, 2, 14, 3.333333, -0.068783
146.67, 16000000, 18, 330, 2, 11, 3.333333, -0.068783
186.67, 16000000, 18, 420, 2, 14, 3.333333, -0.068783
146.67, 16000000, 21, 385, 2, 11, 3.333333, -0.068783
160.00, 16000000, 3, 60, 2, 12, 3.333333, -0.068783
160.00, 16000000, 4, 80, 2, 12, 3.333333, -0.068783
160.00, 16000000, 5, 100, 2, 12, 3.333333, -0.068783
160.00, 16000000, 6, 120, 2, 12, 3.333333, -0.068783
160.00, 16000000, 7, 140, 2, 12, 3.333333, -0.068783
160.00, 16000000, 8, 160, 2, 12, 3.333333, -0.068783
160.00, 16000000, 9, 180, 2, 12, 3.333333, -0.068783
173.33, 16000000, 9, 195, 2, 13, 3.333333, -0.068783
160.00, 16000000, 10, 200, 2, 12, 3.333333, -0.068783
160.00, 16000000, 11, 220, 2, 12, 3.333333, -0.068783
160.00, 16000000, 12, 240, 2, 12, 3.333333, -0.068783
160.00, 16000000, 13, 260, 2, 12, 3.333333, -0.068783
160.00, 16000000, 14, 280, 2, 12, 3.333333, -0.068783
160.00, 16000000, 15, 300, 2, 12, 3.333333, -0.068783
173.33, 16000000, 15, 325, 2, 13, 3.333333, -0.068783
186.67, 16000000, 15, 350, 2, 14, 3.333333, -0.068783
160.00, 16000000, 16, 320, 2, 12, 3.333333, -0.068783
160.00, 16000000, 17, 340, 2, 12, 3.333333, -0.068783
160.00, 16000000, 18, 360, 2, 12, 3.333333, -0.068783
173.33, 16000000, 18, 390, 2, 13, 3.333333, -0.068783
160.00, 16000000, 19, 380, 2, 12, 3.333333, -0.068783
160.00, 16000000, 20, 400, 2, 12, 3.333333, -0.068783
160.00, 16000000, 21, 420, 2, 12, 3.333333, -0.068783
146.67, 16000000, 15, 275, 2, 11, 3.333333, -0.068783
146.78, 16000000, 23, 422, 2, 11, 3.335968, -0.068047
173.47, 16000000, 19, 412, 2, 13, 3.336032, -0.068029
186.82, 16000000, 17, 397, 2, 14, 3.336134, -0.068000
146.80, 16000000, 20, 367, 2, 11, 3.336364, -0.067936
173.50, 16000000, 16, 347, 2, 13, 3.336538, -0.067888
186.86, 16000000, 14, 327, 2, 14, 3.336735, -0.067833
146.82, 16000000, 17, 312, 2, 11, 3.336898, -0.067787
173.54, 16000000, 13, 282, 2, 13, 3.337278, -0.067681
186.91, 16000000, 11, 257, 2, 14, 3.337662, -0.067574
146.86, 16000000, 14, 257, 2, 11, 3.337662, -0.067574
173.60, 16000000, 10, 217, 2, 13, 3.338462, -0.067350
146.91, 16000000, 11, 202, 2, 11, 3.338843, -0.067244
146.91, 16000000, 22, 404, 2, 11, 3.338843, -0.067244
187.00, 16000000, 8, 187, 2, 14, 3.339286, -0.067120
187.00, 16000000, 16, 374, 2, 14, 3.339286, -0.067120
173.65, 16000000, 17, 369, 2, 13, 3.339367, -0.067097
146.95, 16000000, 19, 349, 2, 11, 3.339713, -0.067001
187.08, 16000000, 13, 304, 2, 14, 3.340659, -0.066736
173.71, 16000000, 7, 152, 2, 13, 3.340659, -0.066736
173.71, 16000000, 14, 304, 2, 13, 3.340659, -0.066736
147.00, 16000000, 8, 147, 2, 11, 3.340909, -0.066667
147.00, 16000000, 16, 294, 2, 11, 3.340909, -0.066667
200.47, 16000000, 17, 426, 2, 15, 3.341176, -0.066592
187.11, 16000000, 18, 421, 2, 14, 3.341270, -0.066566
160.38, 16000000, 21, 421, 2, 12, 3.341270, -0.066566
200.50, 16000000, 16, 401, 2, 15, 3.341667, -0.066455
160.40, 16000000, 20, 401, 2, 12, 3.341667, -0.066455
173.78, 16000000, 18, 391, 2, 13, 3.341880, -0.066395
147.05, 16000000, 21, 386, 2, 11, 3.341991, -0.066364
160.42, 16000000, 19, 381, 2, 12, 3.342105, -0.066332
200.53, 16000000, 15, 376, 2, 15, 3.342222, -0.066300
160.44, 16000000, 18, 361, 2, 12, 3.342593, -0.066196
173.82, 16000000, 11, 239, 2, 13, 3.342657, -0.066178
147.08, 16000000, 13, 239, 2, 11, 3.342657, -0.066178
187.20, 16000000, 5, 117, 2, 14, 3.342857, -0.066122
187.20, 16000000, 10, 234, 2, 14, 3.342857, -0.066122
187.20, 16000000, 15, 351, 2, 14, 3.342857, -0.066122
200.57, 16000000, 14, 351, 2, 15, 3.342857, -0.066122
160.47, 16000000, 17, 341, 2, 12, 3.343137, -0.066044
147.11, 16000000, 18, 331, 2, 11, 3.343434, -0.065961
200.62, 16000000, 13, 326, 2, 15, 3.343590, -0.065918
173.87, 16000000, 15, 326, 2, 13, 3.343590, -0.065918
160.50, 16000000, 16, 321, 2, 12, 3.343750, -0.065873
147.13, 16000000, 23, 423, 2, 11, 3.343874, -0.065838
173.89, 16000000, 19, 413, 2, 13, 3.344130, -0.065767
200.67, 16000000, 12, 301, 2, 15, 3.344444, -0.065679
160.53, 16000000, 15, 301, 2, 12, 3.344444, -0.065679
187.29, 16000000, 17, 398, 2, 14, 3.344538, -0.065653
187.33, 16000000, 12, 281, 2, 14, 3.345238, -0.065457
160.57, 16000000, 14, 281, 2, 12, 3.345238, -0.065457
147.20, 16000000, 5, 92, 2, 11, 3.345455, -0.065397
147.20, 16000000, 10, 184, 2, 11, 3.345455, -0.065397
200.73, 16000000, 11, 276, 2, 15, 3.345455, -0.065397
147.20, 16000000, 15, 276, 2, 11, 3.345455, -0.065397
147.20, 16000000, 20, 368, 2, 11, 3.345455, -0.065397
174.00, 16000000, 4, 87, 2, 13, 3.346154, -0.065201
174.00, 16000000, 8, 174, 2, 13, 3.346154, -0.065201
174.00, 16000000, 12, 261, 2, 13, 3.346154, -0.065201
160.62, 16000000, 13, 261, 2, 12, 3.346154, -0.065201
174.00, 16000000, 16, 348, 2, 13, 3.346154, -0.065201
200.80, 16000000, 10, 251, 2, 15, 3.346667, -0.065058
187.43, 16000000, 7, 164, 2, 14, 3.346939, -0.064982
187.43, 16000000, 14, 328, 2, 14, 3.346939, -0.064982
147.27, 16000000, 22, 405, 2, 11, 3.347107, -0.064935
160.67, 16000000, 12, 241, 2, 12, 3.347222, -0.064903
147.29, 16000000, 17, 313, 2, 11, 3.347594, -0.064799
200.89, 16000000, 9, 226, 2, 15, 3.348148, -0.064644
187.50, 16000000, 16, 375, 2, 14, 3.348214, -0.064626
174.12, 16000000, 17, 370, 2, 13, 3.348416, -0.064569
160.73, 16000000, 11, 221, 2, 12, 3.348485, -0.064550
147.33, 16000000, 12, 221, 2, 11, 3.348485, -0.064550
200.94, 16000000, 17, 427, 2, 15, 3.349020, -0.064401
174.15, 16000000, 13, 283, 2, 13, 3.349112, -0.064375
160.76, 16000000, 21, 422, 2, 12, 3.349206, -0.064349
187.56, 16000000, 9, 211, 2, 14, 3.349206, -0.064349
187.56, 16000000, 18, 422, 2, 14, 3.349206, -0.064349
147.37, 16000000, 19, 350, 2, 11, 3.349282, -0.064327
201.00, 16000000, 8, 201, 2, 15, 3.350000, -0.064127
160.80, 16000000, 10, 201, 2, 12, 3.350000, -0.064127
201.00, 16000000, 16, 402, 2, 15, 3.350000, -0.064127
160.80, 16000000, 20, 402, 2, 12, 3.350000, -0.064127
174.22, 16000000, 9, 196, 2, 13, 3.350427, -0.064007
174.22, 16000000, 18, 392, 2, 13, 3.350427, -0.064007
147.43, 16000000, 7, 129, 2, 11, 3.350649, -0.063945
187.64, 16000000, 11, 258, 2, 14, 3.350649, -0.063945
147.43, 16000000, 14, 258, 2, 11, 3.350649, -0.063945
147.43, 16000000, 21, 387, 2, 11, 3.350649, -0.063945
160.84, 16000000, 19, 382, 2, 12, 3.350877, -0.063882
201.07, 16000000, 15, 377, 2, 15, 3.351111, -0.063816
187.69, 16000000, 13, 305, 2, 14, 3.351648, -0.063666
174.29, 16000000, 14, 305, 2, 13, 3.351648, -0.063666
147.48, 16000000, 23, 424, 2, 11, 3.351779, -0.063630
160.89, 16000000, 9, 181, 2, 12, 3.351852, -0.063610
160.89, 16000000, 18, 362, 2, 12, 3.351852, -0.063610
174.32, 16000000, 19, 414, 2, 13, 3.352227, -0.063505
147.50, 16000000, 16, 295, 2, 11, 3.352273, -0.063492
187.73, 16000000, 15, 352, 2, 14, 3.352381, -0.063462
201.14, 16000000, 7, 176, 2, 15, 3.352381, -0.063462
201.14, 16000000, 14, 352, 2, 15, 3.352381, -0.063462
160.94, 16000000, 17, 342, 2, 12, 3.352941, -0.063305
187.76, 16000000, 17, 399, 2, 14, 3.352941, -0.063305
147.56, 16000000, 9, 166, 2, 11, 3.353535, -0.063139
147.56, 16000000, 18, 332, 2, 11, 3.353535, -0.063139
201.23, 16000000, 13, 327, 2, 15, 3.353846, -0.063052
174.40, 16000000, 5, 109, 2, 13, 3.353846, -0.063052
174.40, 16000000, 10, 218, 2, 13, 3.353846, -0.063052
174.40, 16000000, 15, 327, 2, 13, 3.353846, -0.063052
161.00, 16000000, 8, 161, 2, 12, 3.354167, -0.062963
161.00, 16000000, 16, 322, 2, 12, 3.354167, -0.062963
147.60, 16000000, 20, 369, 2, 11, 3.354545, -0.062857
147.64, 16000000, 11, 203, 2, 11, 3.355372, -0.062626
147.64, 16000000, 22, 406, 2, 11, 3.355372, -0.062626
201.33, 16000000, 6, 151, 2, 15, 3.355556, -0.062575
201.33, 16000000, 12, 302, 2, 15, 3.355556, -0.062575
161.07, 16000000, 15, 302, 2, 12, 3.355556, -0.062575
174.50, 16000000, 16, 349, 2, 13, 3.355769, -0.062515
147.69, 16000000, 13, 240, 2, 11, 3.356643, -0.062271
174.55, 16000000, 11, 240, 2, 13, 3.356643, -0.062271
201.41, 16000000, 17, 428, 2, 15, 3.356863, -0.062210
161.14, 16000000, 21, 423, 2, 12, 3.357143, -0.062131
188.00, 16000000, 4, 94, 2, 14, 3.357143, -0.062131
188.00, 16000000, 6, 141, 2, 14, 3.357143, -0.062131
214.86, 16000000, 7, 188, 2, 16, 3.357143, -0.062131
188.00, 16000000, 8, 188, 2, 14, 3.357143, -0.062131
188.00, 16000000, 10, 235, 2, 14, 3.357143, -0.062131
188.00, 16000000, 12, 282, 2, 14, 3.357143, -0.062131
